Authors,Title,Booktitle,Bookaddress,Year,Volume,Issue,Pages,Chapters,Cited by,Editors,Journals,Publisher,Conference name,Conference date,Conference location,ISBN,Document Type
"Isozaki Y., Sakai K., Kohiro K., Kagoshima K., Iwamura Y., Sato H., Rindner D., Fujiwara S., Yamashita K., Mizuno K., Ohashi K.",The Rho-guanine nucleotide exchange factor Solo decelerates collective cell migration by modulating the Rho-ROCK pathway and keratin networks,,,2020,31,8,741-752,,5,,Molecular Biology of the Cell,American Society for Cell Biology,,,,,Article
"Jain S., Cachoux V.M.L., Narayana G.H.N.S., de Beco S., D’Alessandro J., Cellerin V., Chen T., Heuzé M.L., Marcq P., Mège R.-M., Kabla A.J., Lim C.T., Ladoux B.",The role of single-cell mechanical behaviour and polarity in driving collective cell migration,,,2020,16,7,802-809,,33,,Nature Physics,Nature Research,,,,,Article
"de Bem Prunes B., Nunes J.S., da Silva V.P., Laureano N.K., Gonçalves D.R., Machado I.S., Barbosa S., Lamers M.L., Rados P.V., Kurth I., Hess J., Jou A., Visioli F.","The role of tumor acidification in aggressiveness, cell dissemination and treatment resistance of oral squamous cell carcinoma",,,2022,288,1,,,0,,Life Sciences,Elsevier Inc.,,,,,Article
"Ledet M. M., Vasquez A. K., Rauner G., Bichoupan A. A., Moroni P., Nydam D. V., Van De Walle G. R.","The secretome from bovine mammosphere-derived cells (MDC) promotes angiogenesis, epithelial cell migration, and contains factors associated with defense and immunity",,,2018,8,1,,,8,,Scientific Reports,Nature Publishing Group,,,,,Article
"Costa J.G., Saraiva N., Batinic-Haberle I., Castro M., Oliveira N.G., Fernandes A.S.",The SOD mimic MnTnHex-2-pyp5+ reduces the viability and migration of 786-O human renal cancer cells,,,2019,8,10,,,12,,Antioxidants,MDPI,,,,,Article
"He S., Carman C.V., Lee J.H., Lan B., Koehler S., Atia L., Park C.Y., Kim J.H., Mitchel J.A., Park J.-A., Butler J.P., Lu Q., Fredberg J.J.",The tumor suppressor p53 can promote collective cellular migration,,,2019,14,2,,,7,,PLoS ONE,Public Library of Science,,,,,Article
"Bradley F., Birse K., Hasselrot K., Noël-Romas L., Introini A., Wefer H., Seifert M., Engstrand L., Tjernlund A., Broliden K., Burgener A. D.",The vaginal microbiome amplifies sex hormone-associated cyclic changes in cervicovaginal inflammation and epithelial barrier disruption,,,2018,80,1,,,21,,American Journal of Reproductive Immunology,Blackwell Publishing Ltd,,,,,Article
"Boocock D., Hino N., Ruzickova N., Hirashima T., Hannezo E.",Theory of mechanochemical patterning and optimal migration in cell monolayers,,,2021,17,2,267-274,,22,,Nature Physics,Nature Research,,,,,Article
"Khawar I. A., Park J. K., Jung E. S., Lee M. A., Chang S., Kuh H. -J.",Three Dimensional Mixed-Cell Spheroids Mimic Stroma-Mediated Chemoresistance and Invasive Migration in hepatocellular carcinoma,,,2018,20,8,800-812,,58,,Neoplasia (United States),"Neoplasia Press, Inc.",,,,,Article
"Chen P.-C., Lin S.-Z., Xu G.-K., Li B., Feng X.-Q.",Three-dimensional collective cell motions in an acinus-like lumen,,,2019,84,1,234-242,,6,,Journal of Biomechanics,Elsevier Ltd,,,,,Article
"Lee A.J., Hugonnet H., Park W., Park Y.",Three-dimensional label-free imaging and quantification of migrating cells during wound healing,,,2020,11,12,6812-6824,,2,,Biomedical Optics Express,OSA - The Optical Society,,,,,Article
"Skamrahl M., Pang H., Ferle M., Gottwald J., Rübeling A., Maraspini R., Honigmann A., Oswald T.A., Janshoff A.","Tight Junction ZO Proteins Maintain Tissue Fluidity, Ensuring Efficient Collective Cell Migration",,,2021,8,19,,,2,,Advanced Science,John Wiley and Sons Inc,,,,,Article
"Fujimori T., Nakajima A., Shimada N., Sawai S.",Tissue self-organization based on collective cell migration by contact activation of locomotion and chemotaxis,,,2019,116,10,4291-4296,,28,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Barriga E. H., Franze K., Charras G., Mayor R.",Tissue stiffening coordinates morphogenesis by triggering collective cell migration in vivo,,,2018,554,7693,523-527,,215,,Nature,Nature Publishing Group,,,,,Article
"Pandya Y., Marta A., Barateiro A., Bandeira C.L., Dombrowski J.G., Costa J., Marinho C.R.F., Penha-Gonçalves C.",TLR4-endothelin axis controls syncytiotrophoblast motility and confers fetal protection in placental malaria,,,2021,89,8,,,1,,Infection and Immunity,American Society for Microbiology,,,,,Article
"Collins T.A., Yeoman B.M., Katira P.",To lead or to herd: optimal strategies for 3D collective migration of cell clusters,,,2020,19,5,1551-1564,,2,,Biomechanics and Modeling in Mechanobiology,Springer Science and Business Media Deutschland GmbH,,,,,Article
"Ge L., Yang L., Bron R., Burgess J.K., Van Rijn P.","Topography-Mediated Fibroblast Cell Migration Is Influenced by Direction, Wavelength, and Amplitude",,,2020,3,4,2104-2116,,15,,ACS Applied Bio Materials,American Chemical Society,,,,,Article
"Turiv T., Krieger J., Babakhanova G., Yu H., Shiyanovskii S.V., Wei Q.-H., Kim M.-H., Lavrentovich O.D.",Topology control of human fibroblast cells monolayer by liquid crystal elastomer,,,2020,6,20,,,42,,Science Advances,American Association for the Advancement of Science,,,,,Article
"Bonilla L.L., Carpio A., Trenado C.",Tracking collective cell motion by topological data analysis,,,2020,16,44907,,,4,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Rajan S. G., Gallik K. L., Monaghan J. R., Uribe R. A., Bronner M. E., Saxena A.",Tracking neural crest cell cycle progression in vivo,,,2018,56,44719,,,10,,Genesis,John Wiley and Sons Inc.,,,,,Article
"Romano D.J., Gomez-Salinero J.M., Šunić Z., Checco A., Rabbany S.Y.",Tracking of Endothelial Cell Migration and Stiffness Measurements Reveal the Role of Cytoskeletal Dynamics,,,2022,23,1,,,0,,International Journal of Molecular Sciences,MDPI,,,,,Article
"Mulligan J. A., Bordeleau F., Reinhart-King C. A., Adie S. G.",Traction force microscopy for noninvasive imaging of cell forces,Biomechanics in Oncology,Cham,2018,1092,1,319-349,,9,"Dong C. , Zahir N., Konstantopoulos K.",Advances in Experimental Medicine and Biology,Springer New York LLC,,,,,Book Chapter
"Uroz M., Garcia-Puig A., Tekeli I., Elosegui-Artola A., Abenza J.F., Marín-Llauradó A., Pujals S., Conte V., Albertazzi L., Roca-Cusachs P., Raya Á., Trepat X.",Traction forces at the cytokinetic ring regulate cell division and polyploidy in the migrating zebrafish epicardium,,,2019,18,9,1015-1023,,25,,Nature Materials,Nature Publishing Group,,,,,Article
"Jang H., Kim J., Shin J.H., Fredberg J.J., Park C.Y., Park Y.",Traction microscopy integrated with microfluidics for chemotactic collective migration,,,2019,2019,152,,,1,,Journal of Visualized Experiments,Journal of Visualized Experiments,,,,,Article
"Jang H., Kim J., Shin J.H., Fredberg J.J., Park C.Y., Park Y.",Traction microscopy with integrated microfluidics: Responses of the multi-cellular island to gradients of HGF,,,2019,19,9,1579-1588,,7,,Lab on a Chip,Royal Society of Chemistry,,,,,Article
"Saraswathibhatla A., Notbohm J.",Tractions and Stress Fibers Control Cell Shape and Rearrangements in Collective Cell Migration,,,2020,10,1,,,19,,Physical Review X,American Physical Society,,,,,Article
Cota C. D.,Transgenic techniques for investigating cell biology during development,Transgenic Ascidians,Singapore,2018,1029,1,153-164,,1,Sasakura Y.,Advances in Experimental Medicine and Biology,Springer New York LLC,,,,,Book Chapter
"Kim D., An S., Kim L., Byeon Y.M., Lee J., Choi M.-J., An Y.-J.",Translocation and chronic effects of microplastics on pea plants (Pisum sativum) in copper-contaminated soil,,,2022,436,1,,,0,,Journal of Hazardous Materials,Elsevier B.V.,,,,,Article
"Dittloff K.T., Iezzi A., Zhong J.X., Mohindra P., Desai T.A., Russell B.","Transthyretin amyloid fibrils alter primary fibroblast structure, function, and inflammatory gene expression",,,2021,321,1,H149-H160,,2,,American Journal of Physiology - Heart and Circulatory Physiology,American Physiological Society,,,,,Article
"Gehrke T., Hackenberg S., Tecle N., Hagen R., Scherzad A.",Tuberculosis in the Head and Neck: Changing Trends and Age-Related Patterns,,,2021,131,12,2701-2705,,0,,Laryngoscope,John Wiley and Sons Inc,,,,,Article
"Xi W., Sonam S., Lim C. T., Ladoux B.",Tubular microscaffolds for studying collective cell migration,Methods in Cell Biology,,2018,146,1,44641,1,2,"Doh J., Fletcher D., Piel M.",Methods in Cell Biology,Academic Press Inc.,,,,9780128142806,Book Chapter
"Schoenit A., Lo Giudice C., Hahnen N., Ollech D., Jahnke K., Göpfrich K., Cavalcanti-Adam E.A.",Tuning Epithelial Cell-Cell Adhesion and Collective Dynamics with Functional DNA-E-Cadherin Hybrid Linkers,,,2022,22,1,302-310,,0,,Nano Letters,American Chemical Society,,,,,Article
"Yang T.D., Park K., Park J.-S., Lee J.-H., Choi E., Lee J., Choi W., Choi Y., Lee K.J.",Two distinct actin waves correlated with turns-and-runs of crawling microglia,,,2019,14,8,,,4,,PLoS ONE,Public Library of Science,,,,,Article
"Vipparthi K., Patel A.K., Ghosh S., Das S., Das C., Das K., Sarkar A., Thatikonda V., Pal B., Remani A.S.K.N., Arora N., Parihar M., Vijayakumar M.V., Bhat M.K., Boppana R., Bhattacharjee S., Biswas N.K., Arun P., Sharan R., Singh S.",Two novel cell culture models of buccal mucosal oral cancer from patients with no risk-habits of tobacco smoking or chewing,,,2021,113,1,,,3,,Oral Oncology,Elsevier Ltd,,,,,Article
Hiraiwa T.,Two types of exclusion interactions for self-propelled objects and collective motion induced by their combination,,,2019,99,1,,,9,,Physical Review E,American Physical Society,,,,,Article
"Nesbitt D., Pruessner G., Lee C.F.",Uncovering novel phase transitions in dense dry polar active fluids using a lattice Boltzmann method,,,2021,23,4,,,1,,New Journal of Physics,IOP Publishing Ltd,,,,,Article
"Bouderbala I., El Saadi N., Bah A., Auger P.",Understanding how the collective behaviour of phytoflagellates is affected by light attenuation and diel vertical migration using individual-based modelling,,,2020,494,1,,,1,,Journal of Theoretical Biology,Academic Press,,,,,Article
"Sharma A., Boaz K., Natarajan S.",Understanding patterns of invasion: a novel approach to assessment of podoplanin expression in the prediction of lymph node metastasis in oral squamous cell carcinoma,,,2018,72,4,672-678,,7,,Histopathology,Blackwell Publishing Ltd,,,,,Article
"Rose R., Kemper B., Schwab A., Schlatter E., Edemir B.",Unexpected localization of AQP3 and AQP4 induced by migration of primary cultured IMCD cells,,,2021,11,1,,,0,,Scientific Reports,Nature Research,,,,,Article
"Lin S.-Z., Chen P.-C., Guan L.-Y., Shao Y., Hao Y.-K., Li Q., Li B., Weitz D.A., Feng X.-Q.",Universal Statistical Laws for the Velocities of Collective Migrating Cells,,,2020,4,8,,,6,,Advanced Biosystems,Wiley-VCH Verlag,,,,,Article
"Kim J.H., Pegoraro A.F., Das A., Koehler S.A., Ujwary S.A., Lan B., Mitchel J.A., Atia L., He S., Wang K., Bi D., Zaman M.H., Park J.-A., Butler J.P., Lee K.H., Starr J.R., Fredberg J.J.",Unjamming and collective migration in MCF10A breast cancer cell lines,,,2020,521,3,706-715,,18,,Biochemical and Biophysical Research Communications,Elsevier B.V.,,,,,Article
"Patel N.G., Nguyen A., Xu N., Ananthasekar S., Alvarez D.F., Stevens T., Tambe D.T.",Unleashing shear: Role of intercellular traction and cellular moments in collective cell migration,,,2020,522,2,279-285,,5,,Biochemical and Biophysical Research Communications,Elsevier B.V.,,,,,Article
"Conway G.E., Zizyte D., Mondala J.R.M., He Z., Lynam L., Lecourt M., Barcia C., Howe O., Curtin J.F.",Ursolic acid inhibits collective cell migration and promotes JNK-dependent lysosomal associated cell death in glioblastoma multiforme cells,,,2021,14,2,44577,,8,,Pharmaceuticals,MDPI AG,,,,,Article
"Stepien T. L., Lynch H. E., Yancey S. X., Dempsey L., Davidson L.A.",Using a continuum model to decipher the mechanics of embryonic tissue spreading from time-lapse image sequences: An approximate Bayesian computation approach,,,2018,14,6,,,2,,PLoS ONE,Public Library of Science,,,,,Article
"Hou H., Gan T., Yang Y., Zhu X., Liu S., Guo W., Hao J.",Using deep reinforcement learning to speed up collective cell migration,,,2019,20,1,,,3,,BMC Bioinformatics,BioMed Central Ltd.,,,,,Article
"McCann T., Shrestha R., Graham A., Bloomekatz J.",Using Live Imaging to Examine Early Cardiac Development in Zebrafish,Cell Polarity Signaling,New York,2022,2438,1,133-145,,0,"Chang C., Wang J.",Methods in Molecular Biology,Humana Press Inc.,,,,,Book Chapter
"Richardson A. M., Havel L. S., Koyen A. E., Konen J. M., Shupe J., Wiles W. G., IV, David Martin W., Grossniklaus H. E., Sica G., Gilbert-Ross M., Marcus A. I.",Vimentin is required for lung adenocarcinoma metastasis via heterotypic tumor cell–Cancer-associated fibroblast interactions during collective invasion,,,2018,24,2,420-432,,113,,Clinical Cancer Research,American Association for Cancer Research Inc.,,,,,Article
Betz T.,Viscoelastic properties driving collective migration in zebrafish development,Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,,2021,,,135-155,6,1,"Pajic-Lijakovic I., Barriga E. H.",Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,Elsevier,,,,9780128203101,Book Chapter
"Pajic-Lijakovic I., Milivojevic M.",Viscoelasticity of multicellular systems caused by collective cell migration: dynamics at the biointerface,,,2020,49,44624,253-265,,6,,European Biophysics Journal,Springer,,,,,Article
"Pajic-Lijakovic I., Milivojevic M.",Viscoelasticity of multicellular systems caused by collective cell migration: Multiscale modeling considerations,Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,,2021,,,225-255,9,1,"Pajic-Lijakovic I., Barriga E. H.",Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,Elsevier,,,,9780128203101,Book Chapter
"Watanabe Y., Sakuma C., Yaginuma H.",Visualization of tangential cell migration in the developing chick optic tectum,,,2018,2018,140,,,0,,Journal of Visualized Experiments,Journal of Visualized Experiments,,,,,Article
"McKinney M.C., McLennan R., Giniunaite R., Baker R.E., Maini P.K., Othmer H.G., Kulesa P.M.",Visualizing mesoderm and neural crest cell dynamics during chick head morphogenesis,,,2020,461,2,184-196,,7,,Developmental Biology,Elsevier Inc.,,,,,Article
"Hagiwara M., Maruyama H., Akiyama M., Koh I., Arai F.",Weakening of resistance force by cell–ECM interactions regulate cell migration directionality and pattern formation,,,2021,4,1,,,1,,Communications Biology,Nature Research,,,,,Article
"Tay Y.Y.I., Toyama Y.",wERKing the Waves in Collective Cell Migration,,,2020,53,6,621-622,,0,,Developmental Cell,Cell Press,,,,,Article
"Marumoto M., Shiraishi Y., Hagiwara M.",Where cells go: Developing mechanochemical hybrid model of collective cell migration toward directing complex tissue formation,,,2020,,,205-206,,0,,"21st International Conference on Miniaturized Systems for Chemistry and Life Sciences, MicroTAS 2017",Chemical and Biological Microsystems Society,21st International Conference on Miniaturized Systems for Chemistry and Life Sciences,22-Oct-17,"Savannah, Georgia",9780692941836,Conference Paper
"Aman A. J., Fulbright A. N., Parichy D. M.",Wnt/β-catenin regulates an ancient signaling network during zebrafish scale development,,,2018,7,1,,,31,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Koca Y., Collu G.M., Mlodzik M.",Wnt-frizzled planar cell polarity signaling in the regulation of cell motility,,,2022,,,623-646,,0,,Current Topics in Developmental Biology,Academic Press Inc.,,,,,Book Chapter
"Frantz W.T., Ceol C.J.",Working together: Heterotypic clusters and collective cell migration in melanoma metastasis,,,2021,56,20,2783-2784,,0,,Developmental Cell,Cell Press,,,,,Article
"Liao L.-Z., Chen C.-T., Li N.-C., Lin L.-C., Huang B.-S., Chang Y.-H., Chow L.-P.",Y-box binding protein-1 promotes epithelial-mesenchymal transition in sorafenib-resistant hepatocellular carcinoma cells,,,2021,22,1,44581,,8,,International Journal of Molecular Sciences,MDPI AG,,,,,Article
"Kim E. J., Park M. K., Byun H. J., Kang G. J., Yu L., Kim H. J., Shim J. G., Lee H., Lee C. H.",YdjC chitooligosaccharide deacetylase homolog induces keratin reorganization in lung cancer cells: Involvement of interaction between YDJC and CDC16,,,2018,9,33,22915-22928,,4,,Oncotarget,Impact Journals LLC,,,,,Article
"Dalle Nogare D.E., Natesh N., Vishwasrao H.D., Shroff H., Chitnis A.B.",Zebrafish Posterior Lateral Line primordium migration requires interactions between a superficial sheath of motile cells and the skin,,,2020,9,1,,,2,,eLife,NLM (Medline),,,,,Article
